"","Year","Gender","Time","Athlete","Country"
"1",2009,0,9.58,"Usain Bolt","(JAM)"
"2",2008,0,9.69,"Usain Bolt","(JAM)"
"3",2008,0,9.72,"Usain Bolt","(JAM)"
"4",2007,0,9.74,"Asafa Powell","(JAM)"
"5",2006,0,9.77,"Asafa Powell","(JAM)"
"6",2006,0,9.77,"Asafa Powell","(JAM)"
"7",2006,0,9.77,"Justin Gatlin","(USA)"
"8",2005,0,9.77,"Asafa Powell","(JAM)"
"9",2002,0,9.78,"Tim Montgomery","(USA)"
"10",1999,0,9.79,"Maurice Greene","(USA)"
"11",1996,0,9.84,"Donovan Bailey","(CAN)"
"12",1994,0,9.85,"Leroy Burrell","(USA)"
"13",1991,0,9.86,"Carl Lewis","(USA)"
"14",1991,0,9.9,"Leroy Burrell","(USA)"
"15",1988,0,9.92,"Carl Lewis","(USA)"
"16",1988,0,9.93,"Carl Lewis","(USA)"
"17",1987,0,9.93,"Carl Lewis","(USA)"
"18",1983,0,9.93,"Calvin Smith","(USA)"
"19",1968,0,9.95,"Jim Hines","(USA)"
"20",1968,0,10.02,"Charles Greene","(USA)"
"21",1968,0,10.03,"Jim Hines","(USA)"
"22",1964,0,10.06,"Robert Hayes","(USA)"
"23",1960,0,10.25,"Armin Hary","(FRG)"
"24",1958,0,10.29,"Peter Radford","(GBR)"
"25",1958,0,10.32,"Jocelyn Delecour","(FRA)"
"26",1958,0,10.32,"Ray Norton","(USA)"
"27",1948,0,10.34,"Barney Ewell","(USA)"
"28",1932,0,10.38,"Ralph Metcalfe","(USA)"
"29",1932,0,10.38,"Eddie Tolan","(USA)"
"30",1932,0,10.53,"Eddie Tolan","(USA)"
"31",1932,0,10.64,"Ralph Metcalfe","(USA)"
"32",1976,0,9.9,"Don Quarrie","(JAM)"
"33",1976,0,9.9,"Harvey Glance","(USA)"
"34",1976,0,9.9,"Harvey Glance","(USA)"
"35",1976,0,9.9,"Steve Williams","(USA)"
"36",1975,0,9.9,"Steve Williams","(USA)"
"37",1975,0,9.9,"Reggie Jones","(USA)"
"38",1975,0,9.9,"Steve Williams","(USA)"
"39",1975,0,9.8,"Steve Williams","(USA)"
"40",1975,0,9.9,"Silvio Leonard","(CUB)"
"41",1972,0,9.9,"Rey Robinson","(USA)"
"42",1972,0,9.9,"Eddie Hart","(USA)"
"43",1972,0,9.9,"Steve Williams","(USA)"
"44",1968,0,9.9,"Jim Hines","(USA)"
"45",1968,0,9.9,"Charles Greene","(USA)"
"46",1968,0,9.9,"Ronnie Ray Smith","(USA)"
"47",1968,0,9.9,"Jim Hines","(USA)"
"48",1968,0,10,"Roger Bambuck","(FRA)"
"49",1968,0,10,"Charles Greene","(USA)"
"50",1968,0,10,"Oliver Ford","(USA)"
"51",1968,0,10,"Paul Nash","(RSA)"
"52",1968,0,10,"Paul Nash","(RSA)"
"53",1968,0,10,"Paul Nash","(RSA)"
"54",1968,0,10,"Oliver Ford","(USA)"
"55",1967,0,10,"Enrique Figuerola","(CUB)"
"56",1967,0,10,"Willie Turner","(USA)"
"57",1967,0,10,"Jim Hines","(USA)"
"58",1965,0,10,"Chen Chia Chuan","(CHN)"
"59",1964,0,10,"Bob Hayes","(USA)"
"60",1964,0,10,"Horacio Esteves","(VEN)"
"61",1960,0,10,"Harry Jerome","(CAN)"
"62",1960,0,10,"Armin Hary","(FRG)"
"63",1960,0,10.1,"Charles Tidwell","(USA)"
"64",1959,0,10.1,"Ray Norton","(USA)"
"65",1956,0,10.1,"Leamon King","(USA)"
"66",1956,0,10.1,"Leamon King","(USA)"
"67",1956,0,10.1,"Willie Williams","(USA)"
"68",1956,0,10.1,"Ira Murchison","(USA)"
"69",1956,0,10.1,"Willie Williams","(USA)"
"70",1956,0,10.2,"Ira Murchison","(USA)"
"71",1956,0,10.2,"Thane Baker","(USA)"
"72",1956,0,10.2,"Bobby Morrow","(USA)"
"73",1956,0,10.2,"Bobby Morrow","(USA)"
"74",1956,0,10.2,"Ira Murchison","(USA)"
"75",1956,0,10.2,"Bobby Morrow","(USA)"
"76",1954,0,10.2,"Heinz Futterer","(FRG)"
"77",1954,0,10.2,"Hector Hogan","(AUS)"
"78",1951,0,10.2,"Emman McDonald Bailey","(GBR)"
"79",1948,0,10.2,"Norwood Ewell","(USA)"
"80",1948,0,10.2,"Lloyd LaBeach","(PAN)"
"81",1948,0,10.2,"Lloyd LaBeach","(PAN)"
"82",1946,0,10.2,"George Lewis","(TRI)"
"83",1943,0,10.2,"Lloyd LaBeach","(PAN)"
"84",1941,0,10.2,"Harold Davis","(USA)"
"85",1936,0,10.2,"Jesse Owens","(USA)"
"86",1935,0,10.3,"Eulace Peacock","(USA)"
"87",1935,0,10.3,"Takayoshi Yoshioka","(JPN)"
"88",1935,0,10.3,"Takayoshi Yoshioka","(JPN)"
"89",1934,0,10.3,"Ralph Metcalfe","(USA)"
"90",1934,0,10.3,"Ralph Metcalfe","(USA)"
"91",1934,0,10.3,"Ralph Metcalfe","(USA)"
"92",1934,0,10.3,"Ralph Metcalfe","(USA)"
"93",1934,0,10.3,"Christian Berger","(HOL)"
"94",1934,0,10.3,"Eulace Peacock","(USA)"
"95",1934,0,10.3,"Eulace Peacock","(USA)"
"96",1934,0,10.3,"Erich Borchmeyer","(GER)"
"97",1934,0,10.3,"Erich Borchmeyer","(GER)"
"98",1933,0,10.3,"Ralph Metcalfe","(USA)"
"99",1933,0,10.3,"Erich Borchmeyer","(GER)"
"100",1933,0,10.3,"Ralph Metcalfe","(USA)"
"101",1933,0,10.3,"Ralph Metcalfe","(USA)"
"102",1933,0,10.3,"Arthur Jonath","(GER)"
"103",1932,0,10.3,"Ralph Metcalfe","(USA)"
"104",1932,0,10.3,"Ralph Metcalfe","(USA)"
"105",1932,0,10.3,"Eddie Tolan","(USA)"
"106",1932,0,10.3,"Eddie Tolan","(USA)"
"107",1932,0,10.3,"Arthur Jonath","(GER)"
"108",1930,0,10.3,"Percy Williams","(CAN)"
"109",1930,0,10.4,"Georg Lammers","(GER)"
"110",1930,0,10.4,"Helmut KÃ¶rnig","(GER)"
"111",1930,0,10.4,"Helmut KÃ¶rnig","(GER)"
"112",1930,0,10.4,"Georg Lammers","(GER)"
"113",1929,0,10.4,"Georg Lammers","(GER)"
"114",1929,0,10.4,"Eddie Tolan","(USA)"
"115",1929,0,10.4,"Eddie Tolan","(USA)"
"116",1929,0,10.4,"Eddie Tolan","(USA)"
"117",1929,0,10.4,"Eddie Tolan","(USA)"
"118",1929,0,10.4,"Georg Lammers","(GER)"
"119",1929,0,10.4,"Eddie Tolan","(USA)"
"120",1929,0,10.4,"Helmut KÃ¶rnig","(GER)"
"121",1929,0,10.4,"Georg Lammers","(GER)"
"122",1929,0,10.4,"Georg Lammers","(GER)"
"123",1929,0,10.4,"Eugen Eldracher","(GER)"
"124",1929,0,10.4,"Georg Lammers","(GER)"
"125",1928,0,10.4,"Georg Lammers","(GER)"
"126",1928,0,10.4,"Richard Corts","(GER)"
"127",1928,0,10.4,"Ernst Geerling","(GER)"
"128",1928,0,10.4,"JosÂ» Barrientos","(CUB)"
"129",1927,0,10.4,"Jakob SchÃ¼ller","(GER)"
"130",1927,0,10.4,"Hubert Houben","(GER)"
"131",1926,0,10.4,"Helmut KÃ¶rnig","(GER)"
"132",1926,0,10.4,"Helmut KÃ¶rnig","(GER)"
"133",1923,0,10.4,"Charles Paddock","(USA)"
"134",1920,0,10.4,"Charles Paddock","(USA)"
"135",1920,0,10.6,"Jackson Scholz","(USA)"
"136",1920,0,10.6,"Jackson Scholz","(USA)"
"137",1920,0,10.6,"Joseph Imbach","(SUI)"
"138",1912,0,10.6,"Willie Applegarth","(GBR)"
"139",1912,0,10.6,"Donald Lippincott","(USA)"
"140",1988,1,10.49,"Florence Griffith Joyner","(USA)"
"141",1984,1,10.76,"Evelyn Ashford","(USA)"
"142",1983,1,10.79,"Evelyn Ashford","(USA)"
"143",1983,1,10.81,"Marlies GÃ¶hr","(GDR)"
"144",1980,1,10.87,"Lyudmila Kondratyeva","(URS)"
"145",1982,1,10.88,"Marlies Oelsner/GÃ¶hr","(GDR)"
"146",1977,1,10.88,"Marlies Oelsner","(GDR)"
"147",1976,1,11.01,"Annegret Richter","(FRG)"
"148",1976,1,11.04,"Inge Helten","(FRG)"
"149",1973,1,11.07,"Renate Stecher","(GDR)"
"150",1972,1,11.07,"Renate Stecher","(GDR)"
"151",1968,1,11.08,"Wyomia Tyus","(USA)"
"152",1968,1,11.21,"Wyomia Tyus","(USA)"
"153",1964,1,11.23,"Wyomia Tyus","(USA)"
"154",1960,1,11.41,"Wilma Rudolph","(USA)"
"155",1960,1,11.65,"Wilma Rudolph","(USA)"
"156",1952,1,11.65,"Marjorie Jackson","(AUS)"
"157",1952,1,11.72,"Marjorie Jackson","(AUS)"
"158",1952,1,11.86,"Marjorie Jackson","(AUS)"
"159",1952,1,12.18,"Catherine Hardy","(USA)"
"160",1952,1,12.18,"Winsome Cripps","(AUS)"
"161",1973,1,10.9,"Renate Stecher","(GDR)"
"162",1973,1,10.9,"Renate Stecher","(GDR)"
"163",1973,1,10.9,"Renate Stecher","(GDR)"
"164",1972,1,11,"Renate Stecher","(GDR)"
"165",1972,1,11,"Eva GleskovÃ¡","(TCH)"
"166",1972,1,11,"Ellen Strophal","(GDR)"
"167",1972,1,11,"Renate Stecher","(GDR)"
"168",1971,1,11,"Renate Meissner/Stecher","(GDR)"
"169",1970,1,11,"Renate Meissner","(GDR)"
"170",1970,1,11,"Chi Cheng","(TPE)"
"171",1968,1,11,"Wyomia Tyus","(USA)"
"172",1968,1,11.1,"Irena Szewinska","(POL)"
"173",1968,1,11.1,"Barbara Ferrell","(USA)"
"174",1968,1,11.1,"Margaret Bailes","(USA)"
"175",1968,1,11.1,"Margaret Bailes","(USA)"
"176",1968,1,11.1,"Lyudmila Samotyosova","(URS)"
"177",1968,1,11.1,"Wyomia Tyus","(USA)"
"178",1967,1,11.1,"Barbara Ferrell","(USA)"
"179",1965,1,11.1,"Wyomia Tyus","(USA)"
"180",1965,1,11.1,"Irena Kirszenstein","(POL)"
"181",1965,1,11.1,"Ewa Klobukowska","(POL)"
"182",1964,1,11.2,"Wyomia Tyus","(USA)"
"183",1961,1,11.2,"Wilma Rudolph","(USA)"
"184",1961,1,11.3,"Wilma Rudolph","(USA)"
"185",1960,1,11.3,"Wilma Rudolph","(USA)"
"186",1958,1,11.3,"Vera Krepkina","(URS)"
"187",1955,1,11.3,"Shirley Strickland","(AUS)"
"188",1952,1,11.4,"Marjorie Jackson","(AUS)"
"189",1952,1,11.5,"Fanny Blankers Koen","(NED)"
"190",1952,1,11.5,"Marjorie Jackson","(AUS)"
"191",1952,1,11.5,"Marjorie Jackson","(AUS)"
"192",1948,1,11.5,"Fanny Blankers Koen","(NED)"
"193",1943,1,11.5,"Fanny Blankers Koen","(NED)"
"194",1939,1,11.5,"Rowena Harrison","(USA)"
"195",1939,1,11.5,"Lulu Mae Hymes","(USA)"
"196",1937,1,11.6,"StanisÅ‚awa Walasiewicz","(POL)"
"197",1936,1,11.5,"Helen Stephens","(USA)"
"198",1935,1,11.6,"Helen Stephens","(USA)"
"199",1935,1,11.6,"StanisÅ‚awa Walasiewicz","(POL)"
"200",1935,1,11.6,"Helen Stephens","(USA)"
"201",1935,1,11.8,"Helen Stephens","(USA)"
"202",1935,1,11.9,"Helen Stephens","(USA)"
"203",1935,1,11.9,"Helen Stephens","(USA)"
"204",1934,1,11.7,"StanisÅ‚awa Walasiewicz","(POL)"
"205",1934,1,11.7,"StanisÅ‚awa Walasiewicz","(POL)"
"206",1934,1,11.8,"StanisÅ‚awa Walasiewicz","(POL)"
"207",1934,1,11.9,"KÃ¢the Krauss","(GER)"
"208",1934,1,11.6,"StanisÅ‚awa Walasiewicz","(POL)"
"209",1934,1,11.9,"Tollien Schuurman","(NED)"
"210",1933,1,11.8,"StanisÅ‚awa Walasiewicz","(POL)"
"211",1933,1,11.8,"StanisÅ‚awa Walasiewicz","(POL)"
"212",1933,1,11.9,"Tollien Schuurman","(NED)"
"213",1933,1,11.9,"StanisÅ‚awa Walasiewicz","(POL)"
"214",1933,1,11.9,"Tollien Schuurman","(NED)"
"215",1933,1,11.9,"Tollien Schuurman","(NED)"
"216",1933,1,11.9,"Tollien Schuurman","(NED)"
"217",1932,1,11.9,"StanisÅ‚awa Walasiewicz","(POL)"
"218",1932,1,11.9,"Hilda Strike","(CAN)"
"219",1932,1,11.9,"StanisÅ‚awa Walasiewicz","(POL)"
"220",1932,1,11.9,"Tollien Schuurman","(NED)"
"221",1932,1,11.9,"Tollien Schuurman","(NED)"
"222",1931,1,12,"Leni Thymm","(GER)"
"223",1931,1,12,"Leni Thymm","(GER)"
"224",1931,1,12,"Leni Junker/Thymm","(GER)"
"225",1930,1,12,"Tollien Schuurman","(NED)"
"226",1928,1,12.2,"Elizabeth Robinson","(USA)"
"227",1928,1,12,"Myrtle Cook","(CAN)"
"228",1928,1,12,"Betty Robinson","(USA)"
"229",1928,1,12.2,"Kinue Hitomi","(JPN)"
"230",1927,1,12.1,"Gertrud Gladitsch","(GER)"
"231",1926,1,12.2,"Leni Junker","(GER)"
"232",1926,1,12.4,"Gundel Wittmann","(GER)"
"233",1925,1,12.2,"Leni Junker","(GER)"
"234",1925,1,12.4,"Leni Schmidt","(GER)"
"235",1923,1,12.7,"Emmy Haux","(GER)"
"236",1923,1,12.8,"Marie MejzlÃ­kovÃ¡","(TCH)"
"237",1922,1,12.8,"Mary Lines","(GBR)"
