Month & Year,% Popularity
2004-01,10
2004-02,9
2004-03,9
2004-04,9
2004-05,7
2004-06,5
2004-07,6
2004-08,15
2004-09,11
2004-10,11
2004-11,11
2004-12,12
2005-01,11
2005-02,11
2005-03,8
2005-04,10
2005-05,9
2005-06,6
2005-07,7
2005-08,19
2005-09,14
2005-10,13
2005-11,12
2005-12,14
2006-01,12
2006-02,12
2006-03,11
2006-04,13
2006-05,9
2006-06,8
2006-07,10
2006-08,21
2006-09,19
2006-10,16
2006-11,16
2006-12,20
2007-01,16
2007-02,14
2007-03,12
2007-04,15
2007-05,12
2007-06,6
2007-07,11
2007-08,36
2007-09,28
2007-10,23
2007-11,22
2007-12,30
2008-01,23
2008-02,22
2008-03,26
2008-04,31
2008-05,22
2008-06,7
2008-07,11
2008-08,30
2008-09,28
2008-10,26
2008-11,28
2008-12,28
2009-01,28
2009-02,25
2009-03,24
2009-04,31
2009-05,28
2009-06,10
2009-07,13
2009-08,50
2009-09,34
2009-10,33
2009-11,32
2009-12,40
2010-01,35
2010-02,36
2010-03,37
2010-04,37
2010-05,23
2010-06,8
2010-07,15
2010-08,54
2010-09,37
2010-10,37
2010-11,46
2010-12,42
2011-01,43
2011-02,41
2011-03,29
2011-04,39
2011-05,38
2011-06,12
2011-07,15
2011-08,60
2011-09,39
2011-10,39
2011-11,34
2011-12,46
2012-01,39
2012-02,39
2012-03,40
2012-04,51
2012-05,37
2012-06,12
2012-07,14
2012-08,50
2012-09,45
2012-10,35
2012-11,43
2012-12,49
2013-01,41
2013-02,36
2013-03,32
2013-04,44
2013-05,36
2013-06,13
2013-07,16
2013-08,57
2013-09,51
2013-10,41
2013-11,42
2013-12,67
2014-01,50
2014-02,53
2014-03,58
2014-04,71
2014-05,44
2014-06,12
2014-07,18
2014-08,64
2014-09,49
2014-10,45
2014-11,46
2014-12,61
2015-01,48
2015-02,50
2015-03,48
2015-04,57
2015-05,48
2015-06,13
2015-07,19
2015-08,74
2015-09,50
2015-10,52
2015-11,52
2015-12,73
2016-01,61
2016-02,68
2016-03,65
2016-04,92
2016-05,67
2016-06,14
2016-07,20
2016-08,70
2016-09,63
2016-10,68
2016-11,60
2016-12,89
2017-01,77
2017-02,71
2017-03,54
2017-04,98
2017-05,76
2017-06,15
2017-07,22
2017-08,76
2017-09,68
2017-10,59
2017-11,66
2017-12,100
